rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
8/3k2K1/8/8/8/8/2p4P/8 b - - acn 107239; acs 0; bm Ke6 c1=Q; ce 32756; dm 6; pv c1=Q h4 Qf4 h5 Ke7 h6 Qg4+ Kh7 Kf7 Kh8 Qg8#;
8/3k2K1/8/3r4/8/8/8/8 b - - acn 6936; acs 0; bm Ke6 Ke7; ce 32756; dm 6; pv Ke7 Kg6 Re5 Kg7 Re6 Kg8 Kf6 Kh8 Kg6 Kg8 Re8#;
8/3k1p2/4bp1p/3p4/2PQ4/P3RPP1/1q5P/2R3K1 w - - acn 571794; acs 1; bm Qxb2; ce 32756; dm 6; pv Qxb2 h5 Qb5+ Ke7 Qc5+ Kd7 Rb1 h4 Rb7+ Kd8 Qf8#;
8/3k1p2/3p4/8/2KP2NB/4R3/8/8 w - - acn 735525; acs 1; bm Kb5 Kd5 Nf6+ Re7+ d5; ce 32756; dm 6; pv Nf6+ Kc7 d5 Kb7 Kb5 Kc7 Ka6 Kc8 Kb6 Kd8 Re8#;
8/3k1N1P/6K1/8/8/8/8/8 w - - acn 96946; acs 0; bm h8=Q; ce 32756; dm 6; pv h8=Q Kc7 Qc3+ Kb7 Nd6+ Kb6 Qc4 Ka7 Qc6 Kb8 Qb7#;
8/3k1K2/8/r7/8/8/8/8 b - - acn 11086; acs 0; bm Ra6; ce 32756; dm 6; pv Ra6 Kf8 Ke6 Kg7 Ke7 Kg8 Kf6 Kh8 Kg6 Kg8 Ra8#;
8/3k1K2/4r3/8/8/8/8/8 b - - acn 15685; acs 0; bm Ra6 Rb6 Rc6 Rd6; ce 32756; dm 6; pv Rd6 Kf8 Ke6 Kg7 Ke7 Kg8 Kf6 Kh8 Kg6 Kg8 Rd8#;
8/3bK1p1/p5Pp/7P/rR2NkBB/br6/3p4/4q2n b - - acn 699303; acs 2; bm Qxe4+; ce 32756; dm 6; pv Qxe4+ Kf7 Qxb4 Bg3+ Nxg3 Kxg7 Qe7+ Kxh6 Bb2 g7 Qxg7#;
8/3b4/8/k2P4/3R2r1/Pr2b1BK/1N6/8 b - - acn 119104; acs 0; bm Rf4+ Rxd4+; ce 32756; dm 6; pv Rf4+ Kh2 Rxb2+ Rd2 Rxd2+ Bf2 Rfxf2+ Kg3 Bf4+ Kh4 Rh2#;
8/3b4/8/8/8/1pk5/8/3K4 b - - acn 50857; acs 0; bm b2; ce 32756; dm 6; pv b2 Ke1 b1=Q+ Kf2 Qd1 Kg2 Qe2+ Kg3 Kd3 Kh4 Qg4#;
8/3b4/8/8/2k5/2P5/2PPpn2/2K3N1 b - - acn 32793; acs 0; bm e1=Q+; ce 32756; dm 6; pv e1=Q+ Kb2 Nd1+ Ka2 Qxd2 Kb1 Ba4 Ne2 Qxc2+ Ka1 Qb2#;
8/3b4/8/4p3/8/1B2BNK1/8/7k w - - acn 1346606; acs 2; bm Nd4; ce 32756; dm 6; pv Nd4 e4 Bc2 Bf5 Bd3 exd3 Nxf5 d2 Kh3 d1=Q Ng3#;
8/3b4/8/4k3/6p1/5pn1/7p/3BK3 b - - acn 722112; acs 1; bm Kd4 Ne4 f2+ h1=Q+; ce 32756; dm 6; pv h1=Q+ Kd2 f2 Be2 Qb1 Bf3 Qb2+ Kd3 f1=Q+ Be2 Qfxe2#;
8/3b4/8/3k4/2rPr3/3B4/8/3K4 b - - acn 298865; acs 0; bm Ba4+ Bg4+; ce 32756; dm 6; pv Ba4+ Bc2 Bxc2+ Kc1 Rexd4 Kb2 Rd1 Ka2 Rb1 Ka3 Ra4#;
8/3b4/4rb2/3kNnp1/3N4/3P4/1K6/8 b - - acn 428986; acs 1; bm Bxe5; ce 32756; dm 6; pv Bxe5 Kc2 Bxd4 Kd2 Ng3 Kc2 Ba4+ Kd2 Nf1+ Kc1 Re1#;
8/3b4/4p3/8/8/K3P1Q1/7p/7k w - - acn 242386; acs 0; bm Kb4; ce 32756; dm 6; pv Kb4 Bc8 Ka5 e5 Qf2 Bh3 e4 Bg2 Qe1+ Bf1 Qxf1#;
8/3b4/3p1k2/2pPNNp1/2pB2pp/K7/3r1R2/Q4Rb1 w - - acn 1088878; acs 2; bm Nxd7+; ce 32756; dm 6; pv Nxd7+ Kg6 Qe1 Rd3+ Bc3 Rxc3+ Qxc3 h3 Qf6+ Kh7 Qg7#;
8/3b4/3B4/1r1k1rn1/7K/p5p1/7Q/8 b - - acn 98441; acs 0; bm gxh2; ce 32756; dm 6; pv gxh2 Bxh2 Nf3+ Kg3 Nxh2 Kh3 Rg5+ Kxh2 Rb6 Kh1 Rh6#;
8/3b4/2p1kp1r/7R/K4n1r/p3nQ1p/8/2B4q b - - acn 512256; acs 1; bm Nfd5+ Nxh5+ Qxf3 c5+; ce 32756; dm 6; pv c5+ Qc6+ Qxc6+ Kxa3 Qa4+ Kb2 Nd3+ Kb1 Rb4+ Bb2 Rxb2#;
8/3b4/2k1P1N1/K7/4R3/4P3/8/8 w - - acn 251068; acs 0; bm exd7; ce 32756; dm 6; pv exd7 Kxd7 Kb6 Kd6 Ne7 Kd7 Nc8 Kd8 Kc6 Kxc8 Re8#;
8/3b4/2N1rq2/4R3/2K2k2/8/8/8 b - - acn 675530; acs 1; bm Rxc6+ Rxe5; ce 32756; dm 6; pv Rxc6+ Rc5 Rxc5+ Kxc5 Ke4 Kb4 Qb2+ Kc4 Be8 Kc5 Qd4#;
8/3b1q2/2p1kb2/1p4Rp/7P/B1Pp1p2/pKpPBPp1/2n3n1 b - - acn 1454466; acs 2; bm Bxg5 Ngxe2; ce 32756; dm 6; pv Ngxe2 Bb4 Bxg5 hxg5 a1=Q+ Kxa1 Kf5 c4 Qxc4 g6 Qa2#;
8/3b1p2/7p/4Q3/4P3/1r3qPP/R4P1K/2k5 w - - acn 282809; acs 0; bm Qa1+; ce 32756; dm 6; pv Qa1+ Rb1 Qd4 Qg2+ Kxg2 Bxh3+ Kh2 Rb2 Qxb2+ Kd1 Ra1#;
8/3b1p2/6p1/4Pp1B/1Kn4r/R1P1N3/1pp1pknP/R7 b - - acn 1086856; acs 2; bm Ngxe3; ce 32756; dm 6; pv Ngxe3 h3 b1=Q+ Rxb1 cxb1=Q+ Rb3 Nc2+ Kc5 Qxb3 e6 Qb5#;
8/3b1N2/3PrB1p/K1p2p2/5k2/3R1P2/2N4P/8 w - - acn 384470; acs 1; bm Bh4; ce 32756; dm 6; pv Bh4 Rg6 Be1 Rg2 Bc3 Re2 Bg7 Re3 Rxe3 h5 Bh6#;
8/3b1B2/ppp1p3/8/kB2K3/N7/1R4p1/8 w - - acn 125675; acs 0; bm Nb1; ce 32756; dm 6; pv Nb1 Kb5 Nc3+ Kc4 Bh5 g1=N Nb1 Kb5 Na3+ Ka4 Bd1#;
8/3b1B2/8/2PpBk1p/1n1Pp1pK/rr5p/4N3/7N w - - acn 61052; acs 0; bm Nf4; ce 32756; dm 6; pv Nf4 Ra6 c6 Rxc6 Ne2 Rcc3 Nhg3+ Rxg3 Nf4 h2 Bg6#;
8/3Rq3/3b4/4kp2/8/8/1K3P2/8 b - - acn 184909; acs 0; bm Qxd7; ce 32756; dm 6; pv Qxd7 f4+ Ke4 Kc2 Ba3 Kb3 Qd6 Ka2 Qb4 Ka1 Qb2#;
8/3Rp3/4pp1p/4pk1K/4pp2/1Qp5/8/2b5 w - - acn 1320972; acs 2; bm Qc2 Qxc3; ce 32756; dm 6; pv Qxc3 f3 Qc5 f2 Qxf2+ Bf4 Qg2 Bg3 Qf1+ Bf4 Qh3#;
8/3RNK2/4Np1p/1p1pkB2/Pp5r/1P6/3B4/6bb w - - acn 2827601; acs 6; bm Ng7; ce 32756; dm 6; pv Ng7 Kd4 Bc2 Be4 Ngf5+ Ke5 Rd6 Be3 Bxe3 h5 Re6#;
8/3RNK2/4Np1p/1p1pkB2/Pp5r/1P6/3B3p/6bb w - - acn 2905313; acs 6; bm Ng7; ce 32756; dm 6; pv Ng7 Kd4 Bc2 Be4 Ngf5+ Ke5 Rd6 Be3 Bxe3 h1=Q Re6#;
8/3RBR2/4p3/4p3/2p1k1p1/2Pbp1p1/1Pp1p1P1/2K1N3 w - - acn 583475; acs 1; bm Rc7; ce 32756; dm 6; pv Rc7 Kd5 Rf4 exf4 Rc5+ Ke4 Bd6 f3 Bxg3 f2 Re5#;
8/3R4/k2p4/P2P4/P2p4/PN1p4/P7/K7 w - - acn 51540; acs 0; bm Nd2; ce 32756; dm 6; pv Nd2 Kxa5 Rxd6 Kxa4 Rb6 Kxa3 Nc4+ Ka4 a3 d2 Rb4#;
8/3R4/K1p3p1/4p3/k4b1p/6p1/PPP5/8 w - - acn 240244; acs 0; bm c3; ce 32756; dm 6; pv c3 Bd2 Rxd2 g2 Rxg2 e4 Rg4 c5 Rxe4+ c4 Rxc4#;
8/3R4/8/K1k1N3/4b3/1B6/8/8 w - - acn 704966; acs 1; bm Be6; ce 32756; dm 6; pv Be6 Bg2 Nd3+ Kc6 Nb4+ Kc5 Bb3 Bh1 Na6+ Kc6 Ba4#;
8/3R4/8/8/5K2/8/5k2/8 w - - acn 31384; acs 0; bm Rd2+ Re7; ce 32756; dm 6; pv Rd2+ Ke1 Ke3 Kf1 Rc2 Kg1 Kf3 Kh1 Kg3 Kg1 Rc1#;
8/3R4/8/8/3r4/6k1/3N4/4K3 w - - acn 36122; acs 0; bm Rxd4; ce 32756; dm 6; pv Rxd4 Kg2 Nf1 Kg1 Ne3 Kh2 Rg4 Kh3 Kf2 Kh2 Rh4#;
8/3R4/8/4p1pp/5k2/3p2pK/6P1/3NN3 w - - acn 35227; acs 0; bm Nxd3+; ce 32756; dm 6; pv Nxd3+ Ke4 Rd6 g4+ Kh4 Kf5 Ne3+ Ke4 Nf1 Kf5 Nxg3#;
8/3R4/8/1K6/8/8/1k6/8 w - - acn 26649; acs 0; bm Kb4 Kc4; ce 32756; dm 6; pv Kb4 Kc2 Rd8 Kb2 Rc8 Ka2 Kc3 Ka1 Kc2 Ka2 Ra8#;
8/3R4/6P1/2K1k3/8/8/8/8 w - - acn 139780; acs 0; bm Rf7 g7; ce 32756; dm 6; pv g7 Ke4 Re7+ Kf4 g8=Q Kf5 Qf8+ Kg5 Rg7+ Kh5 Qh8#;
8/3R4/5p2/8/4kP2/8/2N3K1/2B5 w - - acn 1336594; acs 2; bm Kg3; ce 32756; dm 6; pv Kg3 Kf5 Nd4+ Ke4 Nf3 Kf5 Re7 Kg6 f5+ Kxf5 Nh4#;
8/3R4/5p2/3rn3/1prk4/1Pb5/6p1/B5K1 b - - acn 80569; acs 0; bm Ke3 Rxd7; ce 32756; dm 6; pv Rxd7 bxc4 Bxa1 c5 Rg7 c6 Rg3 c7 Ke3 c8=Q Nf3#;
8/3R4/5p1k/1R5P/1p4pK/1P1p4/1n3P2/2r5 w - - acn 12143; acs 0; bm Rbb7; ce 32756; dm 6; pv Rbb7 Rh1+ Kxg4 f5+ Kxf5 Rxh5+ Kf6 Rf5+ Kxf5 d2 Rh7#;
8/3R4/4p3/4k3/4N3/3P1K2/8/8 w - - acn 448746; acs 1; bm Rc7; ce 32756; dm 6; pv Rc7 Kf5 Rg7 e5 Re7 Kg6 Kg4 Kh6 Kf5 Kh5 Rh7#;
8/3R4/4kp2/8/3BB3/7K/8/8 w - - acn 819181; acs 1; bm Bc6; ce 32756; dm 6; pv Bc6 Kf5 Re7 Kg5 Be3+ Kg6 Kh4 f5 Be8+ Kf6 Bg5#;
8/3R4/4k3/b3N3/4K2B/8/p7/8 w - - acn 170361; acs 0; bm Ra7; ce 32756; dm 6; pv Ra7 Bb6 Rxa2 Bc7 Ra6+ Bd6 Kd4 Kf5 Rxd6 Kf4 Rf6#;
8/3R4/3pk3/1N1p4/p5N1/2p2K2/2p5/8 w - - acn 77091; acs 0; bm Rb7; ce 32756; dm 6; pv Rb7 d4 Nxd4+ Kd5 Rb5+ Kc4 Ne3+ Kd3 Nb3 d5 Rxd5#;
8/3R4/2qpp3/1b3p2/3k3K/1p3p2/2rpp3/3Q4 b - - acn 410048; acs 1; bm e1=Q+ exd1=Q exd1=R; ce 32756; dm 6; pv e1=Q+ Kh5 Qxd7 Qa1+ Rc3 Qa4+ Bxa4 Kg5 Qg7+ Kh5 Qh1#;
8/3R4/2q1p3/2PPk3/2P1p3/2K1P3/8/8 w - - acn 14803; acs 0; bm dxc6; ce 32756; dm 6; pv dxc6 Kf5 c7 e5 c8=Q Kg5 Qg8+ Kf5 Rf7+ Ke6 Qg6#;
8/3R4/1p1nk2p/8/5b1p/3PB1p1/b1n5/7K b - - acn 127559; acs 0; bm Nxe3 h3; ce 32756; dm 6; pv h3 Re7+ Kxe7 Bxf4 Bd5+ Kg1 h2+ Kf1 h1=Q+ Ke2 Qe1#;
8/3R3p/K1p3p1/4p3/k4b2/6p1/PPP5/8 w - - acn 272249; acs 0; bm c3; ce 32756; dm 6; pv c3 Bd2 Rxd2 g2 Rxg2 h5 Re2 c5 Re4+ c4 Rxc4#;
8/3R2pp/1p2K3/1rp1p1B1/1bp5/6NN/6Pk/1n3B2 w - - acn 2076623; acs 4; bm Be3; ce 32756; dm 6; pv Be3 Nc3 Bg1+ Kxg3 Rxg7+ Kh4 Rxh7+ Kg4 Bf2 e4 Rh4#;
8/3R2pk/2p1B2p/p3r3/1b2Pp2/5P1P/1q4PK/3Q4 w - - acn 105243; acs 0; bm Rxg7+; ce 32756; dm 6; pv Rxg7+ Kxg7 Qd7+ Be7 Qxe7+ Kg6 Qf7+ Kg5 Qg7+ Kh5 Qg4#;
8/3R2p1/6P1/4Bk2/2K4P/8/5P2/8 w - - acn 643809; acs 1; bm Kd5; ce 32756; dm 6; pv Kd5 Kxg6 Rxg7+ Kh5 f3 Kh6 h5 Kxh5 Bf4 Kh4 Rh7#;
8/3R2B1/1p6/4p3/4k1P1/1p6/1P1K3P/4N3 w - - acn 770299; acs 1; bm Bh6; ce 32756; dm 6; pv Bh6 b5 Ke2 b4 Nc2 bxc2 Bc1 b3 Rd2 Kf4 Rd4#;
8/3R1Rp1/p3p1P1/P3k3/p4p1B/P4P1p/5b1P/7K w - - acn 189970; acs 0; bm Bg5; ce 32756; dm 6; pv Bg5 Be3 Rf8 Bd2 Bd8 Bxa5 Bg5 Bd2 Rxd2 a5 Bxf4#;
8/3Q4/RpP4r/2PbpPpp/1B1k4/PP1pp3/Pp1R2N1/bK6 w - - acn 789190; acs 2; bm Rxd3+; ce 32756; dm 6; pv Rxd3+ Kxd3 Qxd5+ Ke2 Ne1 e4 Qe5 h4 Qh2+ Kd1 Qc2#;
8/3Q4/8/N1p5/Nk6/3p3K/8/8 w - - acn 1163917; acs 2; bm Nb3 Nb6 Qa7 Qc7; ce 32756; dm 6; pv Nb3 d2 Nxd2 c4 Qc6 Ka5 Nc3 Kb4 Qxc4+ Ka3 Qb3#;
8/3Q4/8/8/8/5k2/2K5/8 w - - acn 56948; acs 0; bm Qd4 Qf5+; ce 32756; dm 6; pv Qf5+ Kg3 Kd2 Kg2 Qg4+ Kh2 Ke2 Kh1 Kf2 Kh2 Qg2#;
8/3Q4/8/8/5k2/3K4/8/8 w - - acn 37906; acs 0; bm Kd4 Ke2 Qb5 Qd5 Qd6+ Qe6 Qe7 Qe8; ce 32756; dm 6; pv Qd6+ Kg4 Qf6 Kg3 Ke3 Kh3 Qg6 Kh4 Kf3 Kh3 Qg3#;
8/3Q4/8/8/4k1K1/8/8/8 w - - acn 32565; acs 0; bm Kg3 Qb5 Qd6; ce 32756; dm 6; pv Qd6 Ke3 Qd5 Ke2 Qd4 Kf1 Qd2 Kg1 Kg3 Kh1 Qe1#;
8/3Q4/8/8/2k5/5K2/8/8 w - - acn 78235; acs 0; bm Ke2 Ke3 Ke4 Qc6+; ce 32756; dm 6; pv Qc6+ Kd4 Qb5 Kc3 Ke3 Kc2 Qb4 Kc1 Kd3 Kd1 Qb1#;
8/3Q4/8/4K3/2k5/8/8/8 w - - acn 8500; acs 0; bm Ke4 Qa4+ Qd1 Qd2 Qd4+ Qh3; ce 32756; dm 6; pv Qd4+ Kb3 Qd3+ Kb4 Kd5 Ka5 Qb3 Ka6 Kc6 Ka7 Qb7#;
8/3Q4/8/3prp1p/1P3N2/1P2kP1p/2P1N3/7K w - - acn 761985; acs 2; bm Qc7 Qg7; ce 32756; dm 6; pv Qg7 h2 Qxe5+ Kxf3 Nd4+ Kg3 Nd3+ f4 Qg5+ Kh3 Nf2#;
8/3Q4/6q1/1pP1P3/1K1Pp3/PBP5/1kP5/6R1 w - - acn 460801; acs 1; bm Rxg6; ce 32756; dm 6; pv Rxg6 e3 c4 e2 Rg1 e1=Q+ Rxe1 bxc4 Qh3 c3 Qxc3#;
8/3Q4/4K3/8/8/4k3/8/8 w - - acn 6114; acs 0; bm Ke5 Kf5; ce 32756; dm 6; pv Ke5 Kf3 Qd3+ Kf2 Kf4 Kg2 Qd2+ Kg1 Kf3 Kh1 Qg2#;
8/3Q4/4K3/8/8/2k5/8/8 w - - acn 18739; acs 0; bm Qd1; ce 32756; dm 6; pv Qd1 Kc4 Kd6 Kb4 Qd3 Ka5 Qb3 Ka6 Kc6 Ka7 Qb7#;
8/3Q4/4B3/8/r2pK3/k3p3/1p5p/q7 w - - acn 9213; acs 0; bm Qd6+; ce 32756; dm 6; pv Qd6+ Rb4 Qa6+ Ra4 Qd3+ Kb4 Qc4+ Ka5 Qc5+ Ka6 Bc8#;
8/3Q4/3qpP1p/1N1k3p/8/3p1P2/8/1nK1n3 b - - acn 42849; acs 0; bm Qxd7; ce 32756; dm 6; pv Qxd7 Nc3+ Nxc3 f7 Ne2+ Kb1 Qb7+ Ka1 Nc2+ Ka2 Nc1#;
8/3Q4/2P1N2P/1P1P1p2/5p2/p2k2r1/K2p3p/3R3N w - - acn 3263863; acs 7; bm Qa7 Qd6; ce 32756; dm 6; pv Qa7 Re3 Qd4+ Ke2 Rxd2+ Ke1 Rd1+ Ke2 Ng5 f3 Qd2#;
8/3Q4/2P1N2P/1P1P1p2/5p2/p2k2r1/K2p3p/3R3N w - - acn 3262303; acs 4; bm Qa7 Qd6; ce 32756; dm 6; pv Qa7 Re3 Qd4+ Ke2 Rxd2+ Ke1 Rd1+ Ke2 Ng5 f3 Qd2#;
8/3Q4/1p5b/5p2/8/p2K2pp/6p1/3k4 w - - acn 55213; acs 0; bm Qd4; ce 32756; dm 6; pv Qd4 h2 Qa4+ Ke1 Qe8+ Be3 Qxe3+ Kf1 Qe2+ Kg1 Qe1#;
8/3Q2Rp/kp3p2/r3p2P/1P3P2/8/2K4P/1N5q b - - acn 6185; acs 0; bm Ra2+; ce 32756; dm 6; pv Ra2+ Kb3 Qxb1+ Kc4 Qe4+ Qd4 b5+ Kc5 Qxd4+ Kc6 Rc2#;
8/3Ppqp1/4p1kp/3p1n2/K3b3/3r4/8/1B6 b - - acn 326532; acs 1; bm Rd4+; ce 32756; dm 6; pv Rd4+ Ka5 Qf8 Bc2 Qd8+ Kb5 Nd6+ Ka6 Bxc2 Ka7 Ra4#;
8/3PkP1P/r7/5P2/8/8/8/6K1 w - - acn 44985; acs 0; bm f8=Q+ h8=Q; ce 32756; dm 6; pv f8=Q+ Kxd7 h8=Q Rg6+ fxg6 Kc6 Qc3+ Kb6 Qcc5+ Ka6 Qa8#;
8/3Pk3/1P6/3K4/8/8/8/8 w - - acn 10197; acs 0; bm b7; ce 32756; dm 6; pv b7 Kxd7 b8=Q Ke7 Qf4 Kd7 Qf7+ Kd8 Kd6 Kc8 Qc7#;
8/3PPN2/p4pQ1/p2r1N2/2kppR1q/K2p4/R3P3/n2r1n2 w - - acn 451782; acs 1; bm d8=Q; ce 32756; dm 6; pv d8=Q Nc2+ Rxc2+ dxc2 Qc8+ Rc5 N5d6+ Kc3 Nxe4+ Kc4 Qxc5#;
8/3PPN2/p4pQ1/p2r1N2/2kppR1q/K2p4/R3P3/n2r1n2 w - - acn 451780; acs 1; bm d8=Q; ce 32756; dm 6; pv d8=Q Nc2+ Rxc2+ dxc2 Qc8+ Rc5 N5d6+ Kc3 Nxe4+ Kc4 Qxc5#;
8/3PP3/3q4/8/2k1N3/8/8/1B2K3 w - - acn 133971; acs 0; bm Ba2+ Nxd6+; ce 32756; dm 6; pv Nxd6+ Kb4 e8=Q Kb3 Qb8+ Kc3 Qb7 Kd4 d8=Q Ke5 Qe4#;
8/3PP3/3kb3/8/8/8/8/3K4 w - - acn 95280; acs 0; bm d8=Q+; ce 32756; dm 6; pv d8=Q+ Kc5 e8=Q Bb3+ Kc1 Bc4 Qee7+ Kb5 Qb8+ Ka5 Qa3#;
8/3PP3/1NN1k3/P4n2/5p1b/2K3p1/6b1/8 w - - acn 136516; acs 0; bm e8=Q+; ce 32756; dm 6; pv e8=Q+ Be7 d8=Q Kf6 Qh8+ Ng7 Qh6+ Kf5 Qd7+ Ne6 Qdxe6#;
8/3PP1k1/8/8/8/4K3/3PpPpB/8 w - - acn 63361; acs 0; bm Kxe2; ce 32756; dm 6; pv Kxe2 g1=N+ Bxg1 Kh7 e8=Q Kg7 Qe6 Kh7 d8=Q Kg7 Qdg8#;
8/3PP1k1/8/8/5B2/2p5/p3p3/K7 w - - acn 14126; acs 0; bm e8=Q; ce 32756; dm 6; pv e8=Q e1=Q+ Qxe1 c2 Qe5+ Kh7 Qh5+ Kg7 Be5+ Kg8 d8=Q#;
8/3P4/p1k5/8/N7/K7/8/8 w - - acn 133036; acs 0; bm d8=Q; ce 32756; dm 6; pv d8=Q a5 Nb6 a4 Nd5 Kc5 Nb4 Kb5 Qd4 Ka5 Qc5#;
8/3P4/kp6/8/8/1K6/8/8 w - - acn 47715; acs 0; bm d8=Q; ce 32756; dm 6; pv d8=Q Ka7 Qd7+ Ka8 Kb4 b5 Kxb5 Kb8 Kb6 Ka8 Qc8#;
8/3P4/k7/p7/K7/P7/3p4/4B3 w - - acn 17850; acs 0; bm Bxd2; ce 32756; dm 6; pv Bxd2 Kb6 d8=Q+ Kc6 Be3 Kb7 Qd7+ Kb8 Bf2 Ka8 Qa7#;
8/3P4/8/8/R2P4/1k6/p1p5/2K5 w - - acn 24905; acs 0; bm Rxa2; ce 32756; dm 6; pv Rxa2 Kc3 d8=Q Kd3 Ra3+ Ke4 Qd6 Kf5 Rg3 Ke4 Qe5#;
8/3P4/8/8/8/5K2/1Nbkp3/3N4 w - - acn 40422; acs 0; bm d8=Q+; ce 32756; dm 6; pv d8=Q+ Kc1 Kxe2 Be4 Qd2+ Kb1 Nc3+ Ka1 Qc1+ Bb1 Qxb1#;
8/3P4/8/8/8/2p2K2/2Pkp3/2R5 w - - acn 161451; acs 0; bm Ra1 d8=Q+; ce 32756; dm 6; pv d8=Q+ Kxc1 Kxe2 Kb1 Kd1 Kb2 Qb8+ Ka2 Kc1 Ka3 Qb3#;
8/3P4/8/8/8/2n5/3kp3/1Bnb3K b - - acn 56039; acs 0; bm e1=Q+; ce 32756; dm 6; pv e1=Q+ Kh2 Qh4+ Kg2 Ke3 Be4 Qf2+ Kh3 Nxe4 d8=Q Qg3#;
8/3P4/8/8/2B4K/2p5/2Pkp3/2R5 w - - acn 114121; acs 0; bm Ra1 Rb1 Re1 Rg1 Rh1; ce 32756; dm 6; pv Re1 Kxe1 d8=Q Kf2 Qd4+ Kg2 Bxe2 Kh2 Qf2+ Kh1 Bf3#;
8/3P4/8/4r3/4kq2/3N4/1pK5/2N5 b - - acn 196235; acs 0; bm Qh2+ bxc1=Q+ bxc1=R+; ce 32756; dm 6; pv bxc1=Q+ Nxc1 Rc5+ Kb2 Qd2+ Ka3 Ra5+ Kb3 Rb5+ Ka3 Qa5#;
8/3P4/8/4p3/4p3/1B2k3/1K6/2N5 w - - acn 558460; acs 1; bm d8=Q; ce 32756; dm 6; pv d8=Q Kf3 Qg5 e3 Ne2 e4 Bc4 Kf2 Qg3+ Kf1 Qg1#;
8/3P4/8/4P3/8/8/3kp3/1KR2B2 w - - acn 190143; acs 0; bm Rc2+ d8=Q+; ce 32756; dm 6; pv d8=Q+ Ke3 Qb6+ Kf3 Bxe2+ Kg3 Qe3+ Kg2 Qf3+ Kh2 Rh1#;
8/3P4/8/4K3/6k1/8/8/8 w - - acn 6043; acs 0; bm Ke4 d8=Q; ce 32756; dm 6; pv d8=Q Kg3 Qd3+ Kg4 Qe2+ Kh4 Qg2 Kh5 Kf5 Kh6 Qg6#;
8/3P4/8/4K3/6k1/4B3/7R/5n2 w - - acn 387803; acs 1; bm Ra2; ce 32756; dm 6; pv Ra2 Nd2 Bxd2 Kg3 Bf4+ Kf3 d8=Q Kg4 Qg8+ Kh4 Rh2#;
8/3P4/8/2rbr3/3k4/8/3K4/8 b - - acn 114109; acs 0; bm Ra5 Rg5 Rh5; ce 32756; dm 6; pv Rg5 d8=Q Rg2+ Kd1 Kd3 Qxd5+ Rxd5 Ke1 Rf5 Kd1 Rg1#;
8/3P4/8/1B6/8/1K2n3/1ppk4/2NR4 b - - acn 45395; acs 0; bm cxd1=Q+; ce 32756; dm 6; pv cxd1=Q+ Kb4 Kxc1 d8=Q b1=Q+ Kc5 Qxd8 Kc6 Qe4+ Kc5 Qdd4#;
8/3P4/5p2/p1K5/8/pk6/5p2/1B6 w - - acn 11942; acs 0; bm d8=Q; ce 32756; dm 6; pv d8=Q f1=Q Qd5+ Kc3 Qd4+ Kb3 Qa4+ Kb2 Qc2+ Ka1 Qa2#;
8/3P4/5P1k/8/5N2/1p6/1p6/2BKN3 w - - acn 33736; acs 0; bm Bxb2; ce 32756; dm 6; pv Bxb2 Kg5 f7 Kf5 f8=Q+ Kg5 Qf6+ Kg4 d8=Q Kg3 Qh4#;
8/3P4/4k1q1/4P3/8/7K/8/8 b - - acn 102776; acs 0; bm Kxd7; ce 32756; dm 6; pv Kxd7 e6+ Kxe6 Kh2 Ke5 Kh3 Qg1 Kh4 Kf4 Kh5 Qg5#;
8/3P4/4P1P1/3P3P/1PK2kP1/8/4P3/B7 w - - acn 704911; acs 1; bm d8=Q e7; ce 32756; dm 6; pv e7 Kxg4 g7 Kh4 g8=Q Kxh5 e8=Q+ Kh4 Qe7+ Kh5 Qgg5#;
8/3P4/4N3/6P1/2p1k3/5N2/4P3/K7 w - - acn 338938; acs 0; bm Ned4 d8=Q g6; ce 32756; dm 6; pv g6 Ke3 Ned4 Kf4 g7 c3 g8=Q c2 Qg5+ Ke4 Qe5#;
8/3P4/4N3/6P1/2p1k3/5N2/4P3/K7 w - - acn 338919; acs 1; bm Ned4 d8=Q g6; ce 32756; dm 6; pv g6 Ke3 Ned4 Kf4 g7 c3 g8=Q c2 Qg5+ Ke4 Qe5#;
8/3P4/4KB2/1k6/8/8/8/8 w - - acn 298445; acs 0; bm Kd5 d8=Q; ce 32756; dm 6; pv d8=Q Kc5 Qc8+ Kb5 Bc3 Ka4 Qc4+ Ka3 Qb4+ Ka2 Qb2#;
8/3P4/4K3/5R2/8/5n2/r3pBp1/1qn2k2 b - - acn 849851; acs 2; bm Ra6+; ce 32756; dm 6; pv Ra6+ Bb6 e1=Q+ Kf6 Qh4+ Rg5 Qxg5+ Kf7 Qb3+ Kf8 Qbg8#;
8/3P4/3p4/2Nk4/6N1/1K6/8/8 w - - acn 397969; acs 1; bm d8=Q; ce 32756; dm 6; pv d8=Q Kc6 Qd7+ Kxc5 Qc7+ Kb5 Qxd6 Ka5 Kc4 Ka4 Qb4#;
