rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
8/6P1/2k2K2/2b5/4R3/8/8/8 w - - acn 6584877; acs 6; bm Ke6 Rc4 g8=Q; ce 32754; dm 7; pv g8=Q Kb5 Qe8+ Ka5 Ra4+ Kb6 Ke6 Bd6 Qc8 Be7 Kd5 Bf8 Qc6#;
8/6P1/2k1K3/8/8/8/8/8 w - - acn 2849; acs 0; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kc5 Qg4 Kb6 Qb4+ Kc6 Qa5 Kb7 Kd6 Kb8 Kc6 Kc8 Qa8#;
8/6P1/2k1B3/5K2/8/8/8/8 w - - acn 1832434; acs 1; bm Ke4 Ke5 Kf4 g8=Q; ce 32754; dm 7; pv g8=Q Kc5 Qf8+ Kc6 Bd7+ Kc7 Qc8+ Kb6 Qc6+ Ka7 Bc8 Kb8 Qb7#;
8/6P1/1k6/5K2/8/8/8/8 w - - acn 14075; acs 0; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke5 Kb7 Qb5+ Kc7 Ke6 Kc8 Kd6 Kd8 Qb8#;
8/6P1/1k3K2/8/8/8/8/8 w - - acn 9702; acs 0; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke6 Kb7 Qb5+ Kc7 Ke7 Kc8 Kd6 Kd8 Qb8#;
8/6Nr/5p2/2P1kB2/2P3pr/PP2P3/p4P1p/R3K2R w KQ - acn 1379006; acs 2; bm O-O-O; ce 32754; dm 7; pv O-O-O a1=Q+ Kc2 Qa2+ Kc3 Qa1+ Kb4 Qxd1 Rxd1 h1=Q f4+ gxf3ep Rd5#;
8/6Np/8/5K2/7k/7p/7P/8 w - - acn 43242; acs 0; bm Kf4; ce 32754; dm 7; pv Kf4 h6 Nf5+ Kh5 Ne7 Kh4 Kf5 Kh5 Nd5 Kh4 Nf4 h5 Ng6#;
8/6N1/B7/2KNk3/8/3P4/8/8 w - - acn 1838292; acs 2; bm Kc6; ce 32754; dm 7; pv Kc6 Kd4 Nh5 Ke5 Bc8 Kd4 Nhf4 Ke5 Ng2 Kd4 Ne1 Ke5 Nf3#;
8/6N1/8/8/R7/6k1/P2P1prp/5Kbb w - - acn 246973; acs 0; bm Nf5+; ce 32754; dm 7; pv Nf5+ Kf3 Nh4+ Kg3 Rb4 Kh3 Nf5 Rg4 Rb3+ Bf3 Rxf3+ Rg3 Rxg3#;
8/6N1/8/8/3P4/5k2/8/2B2KR1 w - - acn 3893706; acs 4; bm Rg4; ce 32754; dm 7; pv Rg4 Kxg4 Kg2 Kh4 d5 Kg4 d6 Kh4 d7 Kg4 d8=R Kh4 Rd4#;
8/6N1/8/8/3KNk2/5P2/4B3/8 w - - acn 3323818; acs 3; bm Ne6+; ce 32754; dm 7; pv Ne6+ Kf5 Nf8 Kf4 Bd1 Kf5 Ke3 Ke5 Bb3 Kf5 Be6+ Ke5 f4#;
8/6N1/8/4p3/4p3/8/2b4p/5K1k w - - acn 4127; acs 0; bm Nf5; ce 32754; dm 7; pv Nf5 Bd3+ Kf2 e3+ Nxe3 e4 Nf5 e3+ Nxe3 Be4 Nf1 Bf5 Ng3#;
8/6N1/8/4k3/2K1Np2/5P2/8/5B2 w - - acn 1972575; acs 2; bm Kc3; ce 32754; dm 7; pv Kc3 Kd5 Bb5 Ke5 Bd7 Kd5 Ne6 Ke5 Kc4 Kf5 Nf8+ Ke5 Ng6#;
8/6N1/8/2p2R2/2K1k3/8/3P4/8 w - - acn 2201589; acs 2; bm Rf6; ce 32754; dm 7; pv Rf6 Ke5 Ne8 Ke4 Nc7 Ke5 Nd5 Ke4 Ne3 Ke5 Ng4+ Ke4 d3#;
8/6N1/7k/5K2/8/6B1/8/8 w - - acn 204487; acs 0; bm Kf6; ce 32754; dm 7; pv Kf6 Kh7 Nf5 Kh8 Bd6 Kg8 Kg6 Kh8 Be7 Kg8 Nh6+ Kh8 Bf6#;
8/6N1/4K3/1N6/4k3/6P1/3PP3/8 w - - acn 1329953; acs 1; bm Na3; ce 32754; dm 7; pv Na3 Kd4 Kd6 Ke4 Nc4 Kd4 Ne3 Ke4 Kc5 Ke5 Ng4+ Ke4 d3#;
8/6N1/3b1p2/2p5/1pP5/2pP1N1B/1R2P3/1K1k4 w - - acn 1549114; acs 2; bm Bf1; ce 32754; dm 7; pv Bf1 b3 Rd2+ cxd2 Nf5 Bf4 e4 b2 d4 cxd4 N5xd4 f5 Be2#;
8/6N1/2K5/2NNk3/8/3P4/8/8 w - - acn 3090939; acs 2; bm Ne4; ce 32754; dm 7; pv Ne4 Kd4 Nf2 Ke5 Nh3 Kd4 Nhf4 Ke5 Ng2 Kd4 Ne1 Ke5 Nf3#;
8/6N1/1p4p1/2R1P3/r1P1kPn1/1N2p1P1/p3P3/K7 w - - acn 309565; acs 0; bm Ne8; ce 32754; dm 7; pv Ne8 Kf5 Nd4+ Ke4 Nb5 Kf5 Ng7+ Ke4 Rd5 Rxc4 Rd4+ Rxd4 Nc3#;
8/6KP/6P1/4k3/8/8/8/8 w - - acn 95536; acs 0; bm Kf8 Kh6 h8=Q; ce 32754; dm 7; pv h8=Q Kf5 Qe8 Kf4 Qe2 Kf5 Qe3 Kg4 Kf6 Kh4 Kf5 Kh5 Qg5#;
8/6KP/5P2/8/8/2k5/8/8 w - - acn 476159; acs 0; bm Kg6 Kh6 f7 h8=Q; ce 32754; dm 7; pv h8=Q Kd3 Qd8+ Ke3 Qd6 Kf3 f7 Ke3 f8=Q Ke2 Qd4 Ke1 Qff2#;
8/6KP/4k1P1/8/8/8/8/8 w - - acn 164715; acs 0; bm Kf8 Kh6 h8=Q; ce 32754; dm 7; pv h8=Q Kd6 Qh5 Kc6 Qa5 Kd6 Kf6 Kc6 g7 Kd6 g8=Q Kc6 Qgd5#;
8/6K1/r7/4k3/8/8/8/8 b - - acn 3639; acs 0; bm Ke6 Kf5 Re6 Rf6; ce 32754; dm 7; pv Re6 Kf7 Kf5 Kg7 Re7+ Kf8 Kf6 Kg8 Re8+ Kh7 Rf8 Kh6 Rh8#;
8/6K1/n1P4p/2P3kr/1P1R3p/QP3Pb1/3P1p2/2q5 w - - acn 516820; acs 1; bm Rg4+; ce 32754; dm 7; pv Rg4+ Kf5 Qxc1 Rg5+ Rxg5+ hxg5 Qb1+ Ke6 Qg6+ Ke7 Qf6+ Ke8 Qf8#;
8/6K1/Np1p1P1Q/kP6/P4P2/3p2P1/2p5/8 w - - acn 2010838; acs 3; bm f5; ce 32754; dm 7; pv f5 Kxa4 f7 d2 Qxd6 Kxb5 Qd7+ Ka5 f8=Q c1=Q Qb4+ Kxa6 Qba4#;
8/6K1/8/8/k4q2/8/8/8 b - - acn 46451; acs 0; bm Kb3 Kb4 Kb5 Qg5+; ce 32754; dm 7; pv Qg5+ Kh7 Kb4 Kh8 Kc4 Kh7 Kd4 Kh8 Ke5 Kh7 Kf6 Kh8 Qg7#;
8/6K1/8/8/8/R3N3/7n/R5bk w - - acn 12208347; acs 10; bm Ra4 Ra8; ce 32754; dm 7; pv Ra4 Nf3 Rf4 Nh2 Rf2 Nf1 Rfxf1 Kh2 Rxg1 Kh3 Rg2 Kh4 Rh1#;
8/6K1/8/8/8/2P5/1R6/k7 w - - acn 213748; acs 0; bm Rb7; ce 32754; dm 7; pv Rb7 Ka2 c4 Ka3 c5 Ka4 c6 Ka5 c7 Ka6 c8=Q Ka5 Qa8#;
8/6K1/8/8/8/1P6/7R/k7 w - - acn 159407; acs 0; bm b4; ce 32754; dm 7; pv b4 Kb1 b5 Kc1 b6 Kb1 b7 Ka1 Rd2 Kb1 b8=Q+ Kc1 Qb2#;
8/6K1/8/8/5r2/5k2/8/8 b - - acn 36788; acs 0; bm Kg3 Kg4; ce 32754; dm 7; pv Kg3 Kh7 Rg4 Kh8 Kh4 Kh7 Kh5 Kh8 Kg6 Kg8 Rf4 Kh8 Rf8#;
8/6K1/8/8/3k4/Q7/8/8 w - - acn 538; acs 0; bm Kf6; ce 32754; dm 7; pv Kf6 Ke4 Qc3 Kd5 Qb4 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
8/6K1/8/8/3k4/7Q/8/8 w - - acn 1911; acs 0; bm Kf6; ce 32754; dm 7; pv Kf6 Ke4 Qc3 Kd5 Qb4 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
8/6K1/8/8/3k4/1Q6/8/8 w - - acn 2397; acs 0; bm Kf6; ce 32754; dm 7; pv Kf6 Ke4 Qc3 Kd5 Qb4 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
8/6K1/8/8/3k3p/5Q1P/8/8 w - - acn 200574; acs 0; bm Kf6; ce 32754; dm 7; pv Kf6 Kc4 Ke5 Kc5 Qc3+ Kb5 Kd6 Kb6 Qb3+ Ka6 Kc6 Ka7 Qb7#;
8/6K1/8/8/1Q6/4k3/8/8 w - - acn 7110; acs 0; bm Kf6 Kg6 Kh6 Qc3+; ce 32754; dm 7; pv Qc3+ Ke4 Kf6 Kd5 Qb4 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
8/6K1/8/8/1Q6/3k4/8/8 w - - acn 10643; acs 0; bm Kf6 Kg6 Kh6; ce 32754; dm 7; pv Kg6 Ke3 Kg5 Kd3 Kf4 Ke2 Qc4+ Kf2 Qc2+ Kf1 Kf3 Kg1 Qg2#;
8/6K1/8/5r2/4k3/8/8/8 b - - acn 25557; acs 0; bm Ke5 Kf4; ce 32754; dm 7; pv Kf4 Kg6 Kg4 Kh6 Rg5 Kh7 Kh5 Kh8 Kg6 Kg8 Rf5 Kh8 Rf8#;
8/6K1/8/4kr2/8/8/8/8 b - - acn 11060; acs 0; bm Kd6 Ke6 Kf4 Rf6; ce 32754; dm 7; pv Rf6 Kh7 Kf5 Kg7 Kg5 Kh7 Rf7+ Kh8 Kh5 Kg8 Kg6 Kh8 Rf8#;
8/6K1/8/4k3/8/8/8/5r2 b - - acn 4376; acs 0; bm Ke6 Kf5 Rf5 Rf6; ce 32754; dm 7; pv Rf5 Kg6 Ke6 Kg7 Rg5+ Kh6 Kf6 Kh7 Rh5+ Kg8 Rh6 Kf8 Rh8#;
8/6K1/8/4k3/8/8/5r2/8 b - - acn 5284; acs 0; bm Ke6 Kf5 Rf5 Rf6; ce 32754; dm 7; pv Rf5 Kg6 Ke6 Kg7 Rg5+ Kh6 Kf6 Kh7 Rh5+ Kg8 Rh6 Kf8 Rh8#;
8/6K1/8/4k3/8/5r2/8/8 b - - acn 10025; acs 0; bm Ke6 Kf5 Rf5 Rf6; ce 32754; dm 7; pv Rf5 Kg6 Ke6 Kg7 Rg5+ Kh6 Kf6 Kh7 Rh5+ Kg8 Rh6 Kf8 Rh8#;
8/6K1/8/4k2p/1Q6/6P1/8/8 w - - acn 1961508; acs 2; bm Kg6 Qc4; ce 32754; dm 7; pv Qc4 h4 gxh4 Kf5 Qd4 Ke6 Qc5 Kd7 Kf7 Kd8 Ke6 Ke8 Qc8#;
8/6K1/8/3k4/8/Q7/8/8 w - - acn 2668; acs 0; bm Qb4 Qc3; ce 32754; dm 7; pv Qc3 Kd6 Qc4 Kd7 Qc5 Kd8 Qc6 Ke7 Qd5 Ke8 Kf6 Kf8 Qd8#;
8/6K1/8/2k5/8/5Q2/8/8 w - - acn 6632; acs 0; bm Qc3+; ce 32754; dm 7; pv Qc3+ Kd5 Kf6 Ke4 Qd2 Kf3 Kf5 Kg3 Qe2 Kh3 Kf4 Kh4 Qg4#;
8/6K1/8/2k5/8/1Q6/8/8 w - - acn 6399; acs 0; bm Qa4 Qc3+; ce 32754; dm 7; pv Qc3+ Kd5 Kf6 Ke4 Qd2 Kf3 Kf5 Kg3 Qe2 Kh3 Kf4 Kh4 Qg4#;
8/6K1/8/2k5/7Q/8/8/8 w - - acn 3240; acs 0; bm Kf6 Kf7 Qa4; ce 32754; dm 7; pv Qa4 Kd5 Kf7 Ke5 Qc4 Kf5 Qd4 Kg5 Qe4 Kh5 Kf6 Kh6 Qg6#;
8/6K1/8/2k5/5Q2/8/8/8 w - - acn 4102; acs 0; bm Kf6 Kf7 Qa4; ce 32754; dm 7; pv Qa4 Kd5 Kf7 Ke5 Qc4 Kf5 Qd4 Kg5 Qe4 Kh5 Kf6 Kh6 Qg6#;
8/6K1/8/2k5/5Q1p/7P/8/8 w - - acn 798896; acs 1; bm Kf6 Kf7 Qa4; ce 32754; dm 7; pv Qa4 Kd5 Kf7 Ke5 Qc4 Kd6 Qb5 Kc7 Ke7 Kc8 Kd6 Kd8 Qb8#;
8/6K1/8/2Q5/4k3/8/8/8 w - - acn 12925; acs 0; bm Kf6 Kg6 Kh6 Qc3; ce 32754; dm 7; pv Qc3 Kf4 Qd3 Kg4 Qe3 Kh4 Qf3 Kg5 Qe4 Kh5 Kf6 Kh6 Qg6#;
8/6K1/8/1k6/8/Q7/8/8 w - - acn 15204; acs 0; bm Kf6 Qc3; ce 32754; dm 7; pv Qc3 Kb6 Kf7 Ka6 Qb3 Ka7 Ke7 Ka8 Kd7 Ka7 Kc7 Ka8 Qb8#;
8/6K1/7r/4k3/8/8/8/8 b - - acn 1756; acs 0; bm Re6 Rf6; ce 32754; dm 7; pv Rf6 Kh7 Kf5 Kg7 Kg5 Kh7 Rf7+ Kh8 Kh5 Kg8 Kg6 Kh8 Rf8#;
8/6K1/6P1/5k2/8/8/8/6r1 b - - acn 144959; acs 0; bm Rxg6+; ce 32754; dm 7; pv Rxg6+ Kf7 Re6 Kg7 Re7+ Kf8 Kf6 Kg8 Re8+ Kh7 Rf8 Kh6 Rh8#;
8/6K1/6N1/5q2/4k3/8/8/8 b - - acn 621262; acs 1; bm Qe6; ce 32754; dm 7; pv Qe6 Nf8 Qe7+ Kg8 Kf5 Nh7 Kg6 Nf8+ Kh6 Ne6 Qf6 Nc7 Qg7#;
8/6K1/4r3/4k3/8/8/8/8 b - - acn 7019; acs 0; bm Kd6 Kf4 Kf5 Rf6; ce 32754; dm 7; pv Rf6 Kh7 Kf5 Kg7 Kg5 Kh7 Rf7+ Kh8 Kh5 Kg8 Kg6 Kh8 Rf8#;
8/6K1/4r3/3k4/8/8/8/8 b - - acn 31501; acs 0; bm Kd6 Ke5; ce 32754; dm 7; pv Ke5 Kf7 Kf5 Kg7 Re7+ Kf8 Kf6 Kg8 Re8+ Kh7 Rf8 Kh6 Rh8#;
8/6K1/4k3/8/8/8/6Q1/8 w - - acn 30801; acs 0; bm Qa2+ Qc6+ Qd2 Qe4+ Qg5; ce 32754; dm 7; pv Qa2+ Kd6 Qc4 Kd7 Qc5 Kd8 Qc6 Ke7 Qd5 Ke8 Kf6 Kf8 Qd8#;
8/6K1/3p4/3k4/1B6/1N1B1N2/8/8 w - - acn 19177200; acs 18; bm Nfd4; ce 32754; dm 7; pv Nfd4 Ke5 Bd2 Kd5 Kf7 Ke5 Nc6+ Kd5 Nb4+ Ke5 Ke7 d5 Nc6#;
8/6K1/3Q4/8/8/4k3/8/8 w - - acn 39614; acs 0; bm Kf6 Kg6 Qd1; ce 32754; dm 7; pv Qd1 Ke4 Kg6 Ke5 Qd3 Ke6 Qd4 Ke7 Qd5 Ke8 Kf6 Kf8 Qd8#;
8/6K1/2p2p2/8/NP3P2/8/p7/knR5 w - - acn 1016741; acs 1; bm f5; ce 32754; dm 7; pv f5 c5 b5 c4 b6 c3 b7 c2 Rxc2 Na3 b8=Q Nb5 Rc1#;
8/6K1/2p2p2/8/NP3P2/8/p7/kn5R w - - acn 2475501; acs 3; bm Kxf6; ce 32754; dm 7; pv Kxf6 c5 b5 c4 b6 c3 b7 c2 b8=Q c1=Q Qe5+ Qb2 Qxb2#;
8/6K1/2Np2p1/1B1P1kBN/2nRp2P/b2p3P/r3nr2/8 w - - acn 2993221; acs 5; bm Ba6; ce 32754; dm 7; pv Ba6 Nb6 Bxd3 exd3 Ne7+ Ke5 Bf6+ Rxf6 Nc6+ Kf5 Rf4+ Nxf4 Ng3#;
8/6K1/1r6/4k3/8/8/8/8 b - - acn 20706; acs 0; bm Ke6 Kf5 Re6 Rf6; ce 32754; dm 7; pv Re6 Kf7 Kf5 Kg7 Re7+ Kf8 Kf6 Kg8 Re8+ Kh7 Rf8 Kh6 Rh8#;
8/6K1/1p6/1P1N4/3kp3/1Qp3P1/8/8 w - - acn 6228707; acs 7; bm Kf6 Nf4 Nxc3; ce 32754; dm 7; pv Nxc3 e3 Ne2+ Ke4 Qd1 Kf3 Kg6 Kf2 Kf5 Kg2 Qg1+ Kh3 Nf4#;
8/6K1/1k6/8/5Q2/8/8/8 w - - acn 71982; acs 0; bm Kf6 Kf7 Qb4+ Qc4 Qe5 Qf5; ce 32754; dm 7; pv Qb4+ Kc6 Qa5 Kd6 Kf7 Kc6 Ke7 Kb7 Kd7 Kb8 Kc6 Kc8 Qa8#;
8/6Bp/7P/5k2/5P2/B1Rp2pr/N5K1/3R4 w - - acn 708831; acs 1; bm Kxh3; ce 32754; dm 7; pv Kxh3 g2 Rc5+ Kg6 Rc6+ Kf5 Kg3 g1=Q+ Rxg1 d2 Nc3 d1=Q Rf6#;
8/6BP/6K1/8/8/3k4/8/8 w - - acn 348537; acs 0; bm h8=Q; ce 32754; dm 7; pv h8=Q Ke3 Qe8+ Kf3 Qe1 Kf4 Be5+ Kf3 Kf5 Kg2 Bf4 Kh3 Qh1#;
8/6BP/6K1/8/4k3/8/8/8 w - - acn 884206; acs 1; bm h8=Q; ce 32754; dm 7; pv h8=Q Ke3 Qe8+ Kf3 Qe1 Kf4 Be5+ Kf3 Kf5 Kg2 Bf4 Kh3 Qh1#;
8/6BP/6K1/3k4/8/8/8/8 w - - acn 367512; acs 0; bm h8=Q; ce 32754; dm 7; pv h8=Q Kc5 Qc8+ Kb5 Bf8 Kb6 Qd7 Ka6 Bc5 Ka5 Qb7 Ka4 Qb4#;
8/6BP/6K1/2k5/8/8/8/8 w - - acn 525722; acs 0; bm h8=Q; ce 32754; dm 7; pv h8=Q Kd5 Qc8 Ke4 Qc2+ Ke3 Kf5 Kf3 Bd4 Kg3 Bg1 Kh3 Qh2#;
8/6BP/3k4/8/6K1/8/8/8 w - - acn 1694842; acs 1; bm h8=Q; ce 32754; dm 7; pv h8=Q Kc6 Qc8+ Kb6 Bd4+ Kb5 Qc5+ Ka4 Qc4+ Ka5 Qb3 Ka6 Qb6#;
8/6B1/8/8/5P2/8/5Pp1/R3K1kb w - - acn 141341; acs 0; bm Ra8; ce 32754; dm 7; pv Ra8 Kh2 Rh8+ Kg1 Bh6 Kh2 Bg5+ Kg1 Bh4 Kh2 Bg3+ Kg1 Bh2#;
8/6B1/8/4K3/B7/2N5/1k6/b7 w - - acn 943746; acs 1; bm Kd4; ce 32754; dm 7; pv Kd4 Kc1 Bh6+ Kb2 Kd3 Ka3 Bf8+ Kb2 Bc2 Kc1 Ba3+ Bb2 Na2#;
8/6B1/8/3K1k1P/8/6P1/6N1/8 w - - acn 1380711; acs 1; bm Ne3+; ce 32754; dm 7; pv Ne3+ Kg5 Ke6 Kxh5 Kf7 Kg5 Bf8 Kh5 Kg7 Kg5 Be7+ Kh5 g4#;
8/6B1/8/1K1k4/6B1/2P1PP2/8/8 w - - acn 952658; acs 1; bm Bf8; ce 32754; dm 7; pv Bf8 Ke5 Be7 Kd5 c4+ Ke5 c5 Kd5 Bf8 Ke5 Bg7+ Kd5 e4#;
8/6B1/8/1B1k1K2/N7/8/6P1/8 w - - acn 4193902; acs 4; bm Bf8; ce 32754; dm 7; pv Bf8 Kd4 Bc5+ Kd5 Kf6 Ke4 Nc3+ Kf4 Bf2 Kg4 Be2+ Kf4 g3#;
8/6B1/6p1/7k/8/3p2PP/6K1/3n4 w - - acn 75254; acs 0; bm g4+; ce 32754; dm 7; pv g4+ Kh4 Bf6+ g5 Bd4 d2 Kh2 Ne3 Bxe3 d1=N Bg1 Nb2 Bf2#;
8/6B1/6B1/Pp6/bp2N3/pp6/rp5K/k7 w - - acn 1887318; acs 3; bm Kg1; ce 32754; dm 7; pv Kg1 Kb1 Nf2+ Ka1 Nd3 Kb1 Nxb4+ Kc1 Bh6+ Kd1 Bh5+ Ke1 Nd3#;
8/6B1/3p4/1p1p4/2pP4/2P5/p1K2Pb1/k7 w - - acn 132859; acs 0; bm f3; ce 32754; dm 7; pv f3 b4 cxb4 c3 Bf6 Bh3 Bh4 Bf5+ Kc1 c2 Be1 Bg6 Bc3#;
8/6B1/3p3p/3B1k1p/7P/2P3K1/8/8 w - - acn 1505797; acs 2; bm Bd4 Bh8 Kf3; ce 32754; dm 7; pv Bh8 Kg6 Bd4 Kh7 Bf7 d5 Be6 Kg6 Bg8 Kf5 Bf7 Ke4 Bg6#;
8/6B1/1K6/2Nk4/3p4/3P4/8/1N6 w - - acn 1499075; acs 1; bm Bh8; ce 32754; dm 7; pv Bh8 Kd6 Bf6 Kd5 Na3 Kd6 Nb5+ Kd5 Nc7+ Kd6 Kb7 Kxc5 Be7#;
8/5r2/p1B2p2/5kpR/3P1N1p/b3BPnK/2p2pPN/8 w - - acn 1205436; acs 2; bm Ng4; ce 32754; dm 7; pv Ng4 Bf8 Nxf2 Re7 Bc1 a5 Bb5 a4 Bd3+ Re4 fxe4+ Nxe4 Bxe4#;
8/5r2/p1B2p2/2b2kpR/3P1N1p/pK3Pn1/2p2pPN/2B5 w - - acn 769054; acs 1; bm Ng4; ce 32754; dm 7; pv Ng4 Bf8 Nxf2 Re7 Ka2 a5 Bb5 h3 Bd3+ Re4 fxe4+ Nxe4 g4#;
8/5r2/8/8/4k3/8/6K1/8 b - - acn 8258; acs 0; bm Ke3 Kf4 Rf3 Rf4; ce 32754; dm 7; pv Rf4 Kg3 Ke3 Kg2 Rg4+ Kh3 Kf3 Kh2 Rh4+ Kg1 Rh5 Kf1 Rh1#;
8/5r2/8/8/4k1K1/8/8/8 b - - acn 29723; acs 0; bm Rg7+; ce 32754; dm 7; pv Rg7+ Kh5 Rg8 Kh6 Kf5 Kh7 Rg6 Kh8 Kf6 Kh7 Kf7 Kh8 Rh6#;
8/5r2/8/8/3k4/8/3K4/8 b - - acn 49501; acs 0; bm Rf2+; ce 32754; dm 7; pv Rf2+ Ke1 Rh2 Kf1 Ke3 Kg1 Rf2 Kh1 Kf3 Kg1 Kg3 Kh1 Rf1#;
8/5r2/7k/7P/8/7K/8/8 b - - acn 33919; acs 0; bm Kxh5 Rg7; ce 32754; dm 7; pv Rg7 Kh4 Rg8 Kh3 Kxh5 Kh2 Kh4 Kh1 Kg3 Kg1 Rf8 Kh1 Rf1#;
8/5r2/6k1/8/8/7K/8/8 b - - acn 6148; acs 0; bm Kf5 Kg5 Kh5; ce 32754; dm 7; pv Kg5 Kg3 Rf8 Kh3 Kf4 Kg2 Kg4 Kh2 Kf3 Kh1 Kf2 Kh2 Rh8#;
8/5r2/6k1/8/7P/7K/8/8 b - - acn 211449; acs 0; bm Kh5; ce 32754; dm 7; pv Kh5 Kg3 Rf8 Kh3 Rg8 Kh2 Kxh4 Kh1 Kg3 Kg1 Rf8 Kh1 Rf1#;
8/5r2/6k1/8/7K/8/8/8 b - - acn 5602; acs 0; bm Kf5; ce 32754; dm 7; pv Kf5 Kg3 Kg5 Kh3 Kf4 Kg2 Kg4 Kh2 Kf3 Kh1 Kf2 Kh2 Rh7#;
8/5r2/6k1/8/6K1/8/8/8 b - - acn 22430; acs 0; bm Rf5; ce 32754; dm 7; pv Rf5 Kh4 Rg5 Kh3 Kh5 Kh2 Kh4 Kh1 Kg3 Kg1 Rf5 Kh1 Rf1#;
8/5r2/6k1/6P1/6K1/8/8/8 b - - acn 69738; acs 0; bm Rf5; ce 32754; dm 7; pv Rf5 Kh4 Rxg5 Kh3 Kh5 Kh2 Kh4 Kh1 Kg3 Kg1 Rf5 Kh1 Rf1#;
8/5r2/1p2br1b/p1P2pp1/1B1kBP2/3p3n/3N4/K2Q4 w - - acn 4944127; acs 8; bm Qe1; ce 32754; dm 7; pv Qe1 Bd5 Nf3+ Kc4 Bxd3+ Kxd3 Ne5+ Kd4 Qc3+ Ke4 Qf3+ Kd4 Qd3#;
8/5q2/8/8/3K4/8/8/4k3 b - - acn 90923; acs 0; bm Kd2 Qe6 Qf5; ce 32754; dm 7; pv Qf5 Kc4 Qe5 Kb4 Qd5 Ka4 Kd1 Kb4 Kc2 Ka4 Kc3 Ka3 Qb3#;
8/5q1p/p5pP/P1R1R1P1/3k2P1/1p1p1p2/1P1N1P2/6K1 w - - acn 430580; acs 1; bm Kh1; ce 32754; dm 7; pv Kh1 Qb7 Kh2 Qf7 Kh3 Qb7 Kg3 Qf7 Nxf3+ Qxf3+ Kxf3 d2 Red5#;
8/5ppk/7p/4Pq2/QP6/7P/3RK1P1/7r b - - acn 604519; acs 1; bm Qe4+; ce 32754; dm 7; pv Qe4+ Kf2 Qe1+ Kf3 Rf1+ Rf2 Rxf2+ Kg3 Rf1+ Kg4 Qe4+ Kg3 Qf4#;
8/5pkp/3Q1p2/p3r2P/3R4/6P1/5P1K/q7 w - - acn 81414; acs 0; bm Rg4+; ce 32754; dm 7; pv Rg4+ Rg5 Rxg5+ Kh6 Rg8 Qe5 Qf8+ Kxh5 Qxf7+ Kh6 Qg7+ Kh5 Qxh7#;
8/5pkp/1P4p1/2P5/3p3q/5r1P/1Q3P2/5RK1 b - - acn 1377861; acs 2; bm Rxh3; ce 32754; dm 7; pv Rxh3 Qb3 Rxb3 Rc1 Qg4+ Kf1 Rh3 f3 Rxf3+ Ke1 Qg2 c6 Rf1#;
8/5pk1/6p1/p2pR1q1/Pp1P4/1P2PQ2/4KP2/2r5 b - - acn 483222; acs 1; bm Qg1; ce 32754; dm 7; pv Qg1 Qxf7+ Kxf7 Kf3 Qh1+ Kf4 g5+ Rxg5 Qe4+ Kg3 Rg1+ Kh3 Qh1#;
8/5pP1/8/8/2R5/kp6/p7/K7 w - - acn 27711; acs 0; bm Rc3; ce 32754; dm 7; pv Rc3 Ka4 g8=Q b2+ Kxa2 b1=Q+ Kxb1 f6 Qc4+ Ka5 Rb3 f5 Qb5#;
8/5pN1/2K2pp1/1N6/4kPp1/5pP1/3P1P2/1b2nB2 w - - acn 2512588; acs 3; bm Ne8; ce 32754; dm 7; pv Ne8 Kf5 Nd4+ Ke4 Nb3 Kf5 Ng7+ Ke4 Bc4 g5 d3+ Bxd3 Bd5#;
8/5pKp/5p2/8/3B1PR1/8/7p/7k w - - acn 1560697; acs 2; bm Kh6; ce 32754; dm 7; pv Kh6 f5 Rg3 f6 Kh5 h6 Kh4 h5 Kh3 h4 Re3 Kg1 Re1#;
8/5pB1/R2P1P2/p2k1p2/4n2b/5Bp1/5PQ1/3KR2b w - - acn 3931134; acs 5; bm Bxe4+ Rxh1 d7; ce 32754; dm 7; pv Bxe4+ fxe4 Qxh1 g2 Qxh4 e3 d7 e2+ Kd2 g1=Q d8=Q+ Ke5 Qxa5#;
8/5pB1/6p1/6k1/5N1r/5KN1/8/8 w - - acn 264854; acs 0; bm Ne4+; ce 32754; dm 7; pv Ne4+ Kf5 Nd6+ Kg5 Nxf7+ Kf5 Nd6+ Kg5 Ne4+ Kf5 Ng3+ Kg5 Ne6#;
