rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
bn1qr1nR/4pP2/2ppK3/3R4/6k1/4B1P1/4rP2/3B2NQ b - - acn 2; acs 0; bm Qc8# Qd7#; ce 32766; dm 1; pv Qd7#;
bn1qkbr1/6Rp/rp1p4/1N3Q1n/4pP2/2P3P1/P2PP3/1RB1KBN1 w - - acn 2; acs 0; bm Qf7# Qxh5#; ce 32766; dm 1; pv Qf7#;
bn1qkbn1/r3p1p1/4P3/pp1p1B2/3p4/2P4P/PP3P1P/RNB1K1NR w KQ - acn 1; acs 0; bm Bg6#; ce 32766; dm 1; pv Bg6#;
bn1qkb2/r3p1p1/3pB3/1pp2Qp1/2P5/P2KPP1r/4N3/1n5R w - - acn 3; acs 0; bm Bf7# Qf7# Qg6#; ce 32766; dm 1; pv Bf7#;
bn1q3r/r1ppb2p/p1P2B1k/1p4pP/1n3P2/3P4/PQ2P1PR/RN2KB2 w Q - acn 3; acs 0; bm Bg7# fxg5#; ce 32766; dm 1; pv fxg5#;
bn1q3k/2NQ3p/pp5P/2r2p1P/P2p4/RPP2NK1/3P4/2B2B1R w - - acn 2; acs 0; bm Qg7# Qxd8#; ce 32766; dm 1; pv Qxd8#;
bn1q2nr/2p1pp1p/2rk3b/1P4QP/2BNP3/8/PP1P1PP1/RNB2K2 w - - acn 1; acs 0; bm Qd5#; ce 32766; dm 1; pv Qd5#;
bn1q1b1r/r1p1p1p1/2kp4/7p/PQp1NPPP/Nn5B/1B3K1R/R7 w - - acn 1; acs 0; bm Qb5#; ce 32766; dm 1; pv Qb5#;
bn1n4/4q3/3p3b/pP1Pp1pP/3PP1K1/kPr5/4BP1R/1R6 b - - acn 1; acs 0; bm Qd7#; ce 32766; dm 1; pv Qd7#;
bn1kn3/3pb3/p7/3r1P2/1R5p/P4P2/Q5PB/5K2 w - - acn 1; acs 0; bm Rxb8#; ce 32766; dm 1; pv Rxb8#;
bn1k4/Q7/2RP3n/3P1p2/pq5p/1p3NR1/5p1P/2B2KN1 w - - acn 1; acs 0; bm Qe7#; ce 32766; dm 1; pv Qe7#;
bn1k4/2r1N2R/6r1/2p3P1/1p1PpbpQ/qBP5/R1K5/2B5 b - - acn 1; acs 0; bm Qxc1#; ce 32766; dm 1; pv Qxc1#;
bn1k4/2np1ppr/1p5p/6PP/5p2/1P1p1q2/P2b3K/1R2R3 b - - acn 2; acs 0; bm Qg2# Qg3#; ce 32766; dm 1; pv Qg2#;
bn1k4/1r6/8/4NPrP/1Pp1q3/3p4/1b1NR3/3K4 b - - acn 1; acs 0; bm Qxe2#; ce 32766; dm 1; pv Qxe2#;
bn1k4/1n4b1/r1p1P2p/1pq3r1/pP3pP1/P4N2/R2pB3/3K4 b - - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
bn1k4/1Rpr1B2/7P/p2N4/P1n5/3pb3/K7/R7 w - - acn 1; acs 0; bm Rxb8#; ce 32766; dm 1; pv Rxb8#;
bn1k4/1P6/3pp3/5B2/1R1r4/4p1N1/5N1q/b4K2 b - - acn 1; acs 0; bm Qxf2#; ce 32766; dm 1; pv Qxf2#;
bn1k2n1/6p1/3PP2r/2pB3P/1R5P/P1Np2r1/7K/8 w - - acn 1; acs 0; bm Rxb8#; ce 32766; dm 1; pv Rxb8#;
bn1k2B1/r3p1bn/2p3N1/p7/P1q1N2p/2P3B1/1P3r2/5RKR b - - acn 1; acs 0; bm Qxf1#; ce 32766; dm 1; pv Qxf1#;
bn1k1bnr/2rpp3/3B1p2/p2Q3p/pP4p1/P2qP1RN/2PPBP1P/R1K5 b - - acn 1; acs 0; bm Qxc2#; ce 32766; dm 1; pv Qxc2#;
bn1b4/n6R/5p2/6P1/p2P3Q/4k2N/2P5/5K2 w - - acn 1; acs 0; bm Qf4#; ce 32766; dm 1; pv Qf4#;
bn1R1N1k/4BP2/pP6/P1p5/8/b3K2p/6b1/8 w - - acn 1; acs 0; bm Bf6#; ce 32766; dm 1; pv Bf6#;
bn1Q4/4P3/pBk2p2/Pn3P2/Bp1pKP2/1P1P4/8/8 w - - acn 2; acs 0; bm Qc7# Qd5#; ce 32766; dm 1; pv Qd5#;
bn1Nk2r/bP6/1pq5/n1p5/B5p1/1Pp3P1/1PPr2P1/R3K2R b - - acn 1; acs 0; bm Rxh1#; ce 32766; dm 1; pv Rxh1#;
bn1N1knr/4p3/Q2p2B1/2p2p2/1rP1P2P/P4PP1/8/R1B1K1R1 w - - acn 1; acs 0; bm Ne6#; ce 32766; dm 1; pv Ne6#;
bn1BB3/n2Pb3/k1r5/r4p2/3P1P2/p2R2pP/3N4/7K b - - acn 1; acs 0; bm Rc1#; ce 32766; dm 1; pv Rc1#;
bn1B4/b1p5/q5pn/5k2/2N2p1r/8/p4p2/r3RK2 b - - acn 4; acs 0; bm Qxc4# Rxe1# fxe1=Q# fxe1=R#; ce 32766; dm 1; pv fxe1=Q#;
bkr5/8/QPp1ppp1/6P1/2P1PP2/3p3B/2q5/4bK2 b - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
bkr5/2r5/3nR3/2P1p3/1q5p/3pP1Pp/1N5P/4R1K1 b - - acn 1; acs 0; bm Qxe1#; ce 32766; dm 1; pv Qxe1#;
bkr2b2/p3pppr/n1p2n1p/P2p4/3P1NP1/q5QB/P3PP1P/4K2R b K - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
bkq5/1r1p1p2/1Pp4N/2N1p3/P1P1P3/3B3P/1B4r1/R1K3R1 w - - acn 1; acs 0; bm Na6#; ce 32766; dm 1; pv Na6#;
bknR4/1n6/BQ4p1/3p4/3N4/8/4N2P/7K w - - acn 1; acs 0; bm Nc6#; ce 32766; dm 1; pv Nc6#;
bknR4/1n6/BQ4p1/3p4/1R1N4/8/4N2P/7K w - - acn 1; acs 0; bm Nc6#; ce 32766; dm 1; pv Nc6#;
bkn5/4R3/p1pr3p/2N2p1P/Pp1pp3/1P2r3/8/3R2K1 w - - acn 1; acs 0; bm Nxa6#; ce 32766; dm 1; pv Nxa6#;
bkn4R/3r3n/KNp5/Q1B1P1p1/6P1/8/8/8 w - - acn 2; acs 0; bm Nxd7# Rxc8#; ce 32766; dm 1; pv Nxd7#;
bkn4R/3r3n/KNp5/Q1B1P1p1/6P1/8/8/8 b - - acn 2; acs 0; bm Bb7# Ra7#; ce 32766; dm 1; pv Bb7#;
bkn3QQ/6rn/8/2pP4/1P5P/8/5K2/R7 w - - acn 1; acs 0; bm Qxc8#; ce 32766; dm 1; pv Qxc8#;
bkNR4/1n4R1/1Q6/7p/8/7p/2B2B2/7K w - - acn 7; acs 0; bm Bg3# Na7# Nd6# Ne7# Qa7# Qc7#; ce 32766; dm 1; pv Na7#;
bkN1nq2/prp1pppK/1p1p2p1/8/8/7P/PPPPPPP1/R1B5 b - - acn 1; acs 0; bm Nf6#; ce 32766; dm 1; pv Nf6#;
bkN1N2q/pn1PP1pr/7P/4P3/8/8/5p1B/1Q3R1K w - - acn 1; acs 0; bm e6#; ce 32766; dm 1; pv e6#;
bk6/rr1P4/pQ6/P7/8/8/7P/6BK w - - acn 5; acs 0; bm Qd8# d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
bk6/rr1P4/pQ6/P7/8/8/7P/6BK b - - acn 1; acs 0; bm Rxb6#; ce 32766; dm 1; pv Rxb6#;
bk6/prp1P3/KbB5/p1p4p/P1P4B/8/8/5R2 w - - acn 3; acs 0; bm Rf8# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
bk6/pn1Pp1P1/p1K1ppp1/2p3r1/2QB2p1/PR3P2/8/1rq3b1 w - - acn 4; acs 0; bm d8=Q# d8=R# g8=Q# g8=R#; ce 32766; dm 1; pv g8=Q#;
bk6/pP2P3/Kp1P2NQ/1P3R2/8/8/5P1P/5r2 w - - acn 7; acs 0; bm Qf8# Qh8# Rf8# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
bk6/pP2P3/Kp1P2NQ/1P3R2/8/8/5P1P/5r2 b - - acn 2; acs 0; bm Bxb7# Ra1#; ce 32766; dm 1; pv Bxb7#;
bk6/pP1R3p/PpPpPP2/8/2KP4/B6B/1q1P2PQ/br1R2Nr w - - acn 6; acs 0; bm Bxd6# Qxd6# c7#; ce 32766; dm 1; pv c7#;
bk6/p7/P7/1n1pR1P1/4n2K/2R4p/7P/8 w - - acn 1; acs 0; bm Re8#; ce 32766; dm 1; pv Re8#;
bk6/p2p4/8/3q2p1/3Bp3/K3b3/3n4/8 b - - acn 1; acs 0; bm Qb3#; ce 32766; dm 1; pv Qb3#;
bk6/p2Q4/Pp1N2r1/8/8/7R/2R4K/8 w - - acn 5; acs 0; bm Qc7# Qc8# Qd8# Qe8# Rc8#; ce 32766; dm 1; pv Rc8#;
bk6/p2P4/p2P4/P1PB4/8/8/5p1P/5N1K w - - acn 2; acs 0; bm d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
bk6/p2P4/p2P4/P1PB4/8/8/5p1P/5N1K b - - acn 1; acs 0; bm Bxd5#; ce 32766; dm 1; pv Bxd5#;
bk6/p2P2Q1/r4n2/8/7N/4R1KP/8/8 w - - acn 2; acs 0; bm d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
bk6/p1p5/Pp3p2/5nq1/8/8/1P2QPP1/2R3K1 w - - acn 1; acs 0; bm Qe8#; ce 32766; dm 1; pv Qe8#;
bk6/p1b4Q/P7/N3N3/4B1R1/2r5/1r2q3/6K1 b - - acn 3; acs 0; bm Qd1# Qe1# Rc1#; ce 32766; dm 1; pv Rc1#;
bk6/p1NP2p1/PB1P1pr1/5PpK/6P1/1P1Q4/2R5/R7 w - - acn 2; acs 0; bm d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
bk6/p1NP2p1/PB1P1pr1/5PpK/6P1/1P1Q4/2R5/R7 b - - acn 1; acs 0; bm Rh6#; ce 32766; dm 1; pv Rh6#;
bk6/b1p5/qr6/N1K5/8/8/8/8 b - - acn 5; acs 0; bm Rb1# Rb2# Rb3#; ce 32766; dm 1; pv Rb3#;
bk6/8/p1n4P/3P2p1/1P3N2/p1q1bB2/1R6/1K6 b - - acn 1; acs 0; bm Qxb2#; ce 32766; dm 1; pv Qxb2#;
bk6/8/PPp5/2PR3P/7P/1n2KP2/2N5/7R w - - acn 1; acs 0; bm Rd8#; ce 32766; dm 1; pv Rd8#;
bk6/8/K7/7r/5P2/5pP1/4B2B/2r5 b - - acn 1; acs 0; bm Rc6#; ce 32766; dm 1; pv Rc6#;
bk6/8/2p1p3/P1p2pP1/1P1R1b2/8/1q3p2/7K b - - acn 2; acs 0; bm f1=Q# f1=R#; ce 32766; dm 1; pv f1=Q#;
bk6/8/1p1K4/1p6/1P3B2/R1Q2R2/2N5/8 w - - acn 1; acs 0; bm Qc7#; ce 32766; dm 1; pv Qc7#;
bk6/7R/PBp5/2P1p3/8/N6p/P1K2n1P/8 w - - acn 1; acs 0; bm Rh8#; ce 32766; dm 1; pv Rh8#;
bk6/6p1/B7/5N2/1bP1Pp2/p2n1P2/8/1r1b1K2 b - - acn 1; acs 0; bm Bxf3#; ce 32766; dm 1; pv Bxf3#;
bk6/6p1/1p4P1/2np4/P1p1r3/N7/R4r1q/2K1Nn1B b - - acn 1; acs 0; bm Rxe1#; ce 32766; dm 1; pv Rxe1#;
bk6/6B1/p2n4/3P4/2P1q1P1/8/3r4/5K2 b - - acn 2; acs 0; bm Qb1# Qh1#; ce 32766; dm 1; pv Qh1#;
bk6/5pq1/8/1pN5/1p3nr1/n1N1p3/6r1/6bK b - - acn 12; acs 0; bm Qh6# Qh7# Qh8# Rh2# Rh4#; ce 32766; dm 1; pv Rh2#;
bk6/5R2/8/8/6R1/7K/7N/8 w - - acn 1; acs 0; bm Rg8#; ce 32766; dm 1; pv Rg8#;
bk6/5R2/1r4Nr/6P1/1n6/p1P5/P2QKP1q/8 w - - acn 1; acs 0; bm Qd8#; ce 32766; dm 1; pv Qd8#;
bk6/5Q1p/6R1/N7/6p1/4P2P/1B6/1K6 w - - acn 1; acs 0; bm Rg8#; ce 32766; dm 1; pv Rg8#;
bk6/5P2/PP5P/8/8/8/8/2K5 w - - acn 2; acs 0; bm f8=Q# f8=R#; ce 32766; dm 1; pv f8=Q#;
bk6/5P2/1K6/8/6p1/6P1/8/8 w - - acn 2; acs 0; bm f8=Q# f8=R#; ce 32766; dm 1; pv f8=Q#;
bk6/4Q2R/4r1B1/2p5/2P5/P1b1r3/K1N4P/6R1 w - - acn 4; acs 0; bm Qc7# Qd8#; ce 32766; dm 1; pv Qd8#;
bk6/3P4/1PnbB3/2N5/1p3p2/1pP2ppr/3Q4/4K3 w - - acn 3; acs 0; bm Qxd6#; ce 32766; dm 1; pv Qxd6#;
bk6/3B4/2p3P1/5P2/r4r1b/1p6/3p2RR/2B3K1 b - - acn 4; acs 0; bm d1=Q# d1=R# dxc1=Q# dxc1=R#; ce 32766; dm 1; pv d1=Q#;
bk6/2r5/PP1Q4/8/3K1P1P/8/1R4P1/8 w - - acn 3; acs 0; bm Qxc7#; ce 32766; dm 1; pv Qxc7#;
bk6/2r5/3n4/1N5q/3K4/3R4/1n1b4/8 b - - acn 6; acs 0; bm Nxb5# Qc5# Qd5# Qh8# Rc4#; ce 32766; dm 1; pv Nxb5#;
bk6/2n5/1q6/4b3/8/2r4p/2P1P1P1/7K b - - acn 3; acs 0; bm Bxg2# Qb1# hxg2#; ce 32766; dm 1; pv hxg2#;
bk6/2RP4/R4Q2/8/4p3/8/4N2B/7K w - - acn 6; acs 0; bm Qd8# Qf8# Qh8# Rca7# d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
bk6/1q4p1/r2PppPp/6rP/p1PB1P1R/NBRP4/6N1/6K1 b - - acn 1; acs 0; bm Qxg2#; ce 32766; dm 1; pv Qxg2#;
bk6/1nR1P3/PQ2P3/p3B3/P7/5p1p/7N/5R1K w - - acn 9; acs 0; bm Rc2# Rc3# Rc4# Rc5# Rc6# Rcc1# a7# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
bk6/1n1P1P1p/1Q1P2P1/6p1/6Pb/6pR/5pK1/5N2 w - - acn 5; acs 0; bm d8=Q# d8=R# f8=Q# f8=R#; ce 32766; dm 1; pv f8=Q#;
bk6/1n1B4/nBK5/1P4R1/8/b7/8/7Q b - - acn 5; acs 0; bm Na5# Nb4# Nd6# Nd8#; ce 32766; dm 1; pv Na5#;
bk6/1P6/K1Q5/8/8/8/8/8 w - - acn 4; acs 0; bm Qc8# Qd6# bxa8=Q# bxa8=R#; ce 32766; dm 1; pv bxa8=Q#;
bk6/1N5Q/K2R4/8/8/8/8/7q w - - acn 1; acs 0; bm Rd8#; ce 32766; dm 1; pv Rd8#;
bk6/1N1P4/KB6/PP6/8/8/8/8 w - - acn 2; acs 0; bm d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
bk6/1N1P4/KB6/PP6/8/8/8/8 b - - acn 1; acs 0; bm Bxb7#; ce 32766; dm 1; pv Bxb7#;
bk6/1B4r1/1p1R1n2/7p/1P3Pq1/P2P4/8/1R5K b - - acn 2; acs 0; bm Qh3# Qh4#; ce 32766; dm 1; pv Qh3#;
bk6/1B2p3/3pNp2/p1pK2p1/P1Pp2Pb/3P1PpN/3P2P1/8 b - - acn 1; acs 0; bm Bxb7#; ce 32766; dm 1; pv Bxb7#;
bk5r/8/3rN3/6p1/p5p1/1p2q3/8/5K2 b - - acn 2; acs 0; bm Rd1# Rh1#; ce 32766; dm 1; pv Rh1#;
bk5r/2r3p1/pp1N2BP/1n6/QN3pP1/8/P1p5/K1B3bq b - - acn 1; acs 0; bm Bd4#; ce 32766; dm 1; pv Bd4#;
bk5b/p4p2/8/2PQq3/1n3Pr1/1B1p2P1/8/2BK4 b - - acn 1; acs 0; bm Qe2#; ce 32766; dm 1; pv Qe2#;
bk4br/NbRpPp1r/1Q1BpP1p/1R2P2P/3N4/8/5P1P/1R3RK1 w - - acn 11; acs 0; bm Rc2# Rc3# Rc4# Rc6# Rc8# Rcc1# Rcc5# Rxb7# Rxd7# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
bk4B1/N3BR2/pP1r4/P3r1pp/7P/6bP/8/R1n3K1 w - - acn 1; acs 0; bm Bxd6#; ce 32766; dm 1; pv Bxd6#;
bk3r2/R6p/3pp3/P2rP3/8/1Pp5/7B/3R2Kn b - - acn 1; acs 0; bm Rxd1#; ce 32766; dm 1; pv Rxd1#;
bk3r2/1N6/p1p1r1p1/1NP2p1p/Bn1P3P/R4PP1/1B1q2Q1/5K2 b - - acn 2; acs 0; bm Qe1# Re1#; ce 32766; dm 1; pv Re1#;
bk3b2/r3n3/ppn2p2/2p5/q2BPK1p/1P2N1r1/3P4/5BNR b - - acn 1; acs 0; bm Bh6#; ce 32766; dm 1; pv Bh6#;
bk3b2/qPp1p1p1/nRP5/nKp3pP/BRp3Q1/rp4P1/P4Pp1/8 w - - acn 5; acs 0; bm Qc8#; ce 32766; dm 1; pv Qc8#;
bk3b2/qPp1p1p1/nRP5/nKp3pP/BRp3Q1/rp4P1/P4Pp1/8 b - - acn 1; acs 0; bm Qxb6#; ce 32766; dm 1; pv Qxb6#;
bk2r3/p3p3/2RN4/4b2Q/P2p1pp1/4rpP1/1Pn2P2/2BK4 w - - acn 1; acs 0; bm Qxe8#; ce 32766; dm 1; pv Qxe8#;
bk2r3/8/p5r1/1P1BN3/P4p2/4N3/n6K/8 b - - acn 1; acs 0; bm Rh8#; ce 32766; dm 1; pv Rh8#;
bk2r2R/n3b1p1/B5p1/2p1K3/3r1B2/8/1q6/1R6 b - - acn 8; acs 0; bm Bd6# Bf6# Bf8# Re4#; ce 32766; dm 1; pv Bf8#;
bk2r2R/5B2/1PP5/B7/P2P2p1/8/6K1/8 w - - acn 1; acs 0; bm Rxe8#; ce 32766; dm 1; pv Rxe8#;
bk2nq2/Nrp1pppK/1p1p2p1/8/8/7P/PPPPPPP1/R1B5 b - - acn 1; acs 0; bm Nf6#; ce 32766; dm 1; pv Nf6#;
bk2N1n1/p1N4r/2p2prq/1pP2Bp1/nP1pR3/8/6PP/3Q3K b - - acn 1; acs 0; bm Qxh2#; ce 32766; dm 1; pv Qxh2#;
bk2B3/rPN2N2/p1p1K3/P1P1B3/8/2P5/8/1Q6 w - - acn 6; acs 0; bm Nd5# Nxa6# Nxa8# bxa8=Q# bxa8=R#; ce 32766; dm 1; pv bxa8=Q#;
bk1r2r1/4bp2/1BQ2PBp/ppn3p1/3Pp3/1P2P3/4n1KP/6NR w - - acn 1; acs 0; bm Qc7#; ce 32766; dm 1; pv Qc7#;
bk1r1R2/3R4/p5r1/Pp6/1B2p3/3n4/3K4/8 w - - acn 1; acs 0; bm Rfxd8#; ce 32766; dm 1; pv Rfxd8#;
bk1qn2B/5p2/1pp4N/3R1Pbp/4P1n1/r7/8/5qQK b - - acn 3; acs 0; bm Rh3#; ce 32766; dm 1; pv Rh3#;
bk1nrB2/3n3p/5P2/P1P5/R2r1pp1/6q1/3P4/1N3K2 b - - acn 4; acs 0; bm Qe1# Qg2# Re1#; ce 32766; dm 1; pv Re1#;
bk1nR3/rnpP1p2/pR6/p1p2N2/P1P2B2/5P2/4P3/7K w - - acn 1; acs 0; bm Rxd8#; ce 32766; dm 1; pv Rxd8#;
bk1n1rqB/b1n5/8/1P2q3/q6q/1q3q1B/3K4/1q3qqr b - - acn 59; acs 0; bm Be3# Q1a2# Q1b2# Q1c2# Q1e2# Q1g5# Q3a2# Q3b2# Q3c2# Q3e2# Q3f2# Q8g5# Qa5# Qaa2# Qab4# Qad4# Qaf4# Qb1d1# Qb1d3# Qb3d1# Qb3d3# Qbb4# Qbc1# Qbc3# Qbd5# Qbe1# Qbe3# Qee1# Qee2# Qee3# Qef4# Qeg5# Qf1d1# Qf1d3# Qf1f2# Qf3d1# Qf3d3# Qfc1# Qfc3# Qfd5# Qfe1# Qfe3# Qff4# Qgd4# Qgd5# Qge3# Qgf2# Qh6# Qhb4# Qhd4# Qhe1# Qhf2# Qhf4# Qhg5#; ce 32766; dm 1; pv Be3#;
bk1n1rq1/b1n5/8/1P2B3/q6q/1q3q1B/3K4/1q3qqr b - - acn 25; acs 0; bm Be3# Q1c2# Q1e2# Q3c2# Q3e2# Q3f2# Qb1d1# Qb1d3# Qb3d1# Qb3d3# Qbc1# Qbe1# Qbe3# Qf1d1# Qf1d3# Qf1f2# Qf3d1# Qf3d3# Qfc1# Qfe1# Qfe3# Qge3# Qgf2# Qhe1# Qhf2#; ce 32766; dm 1; pv Be3#;
bk1bR3/pnn5/4P3/8/8/8/4Bp1B/1Q3N1K w - - acn 1; acs 0; bm Rxd8#; ce 32766; dm 1; pv Rxd8#;
bk1b3R/1n1p4/1Q1p4/pR3B2/N1p1KB2/2P1P3/8/8 w - - acn 1; acs 0; bm Rxd8#; ce 32766; dm 1; pv Rxd8#;
bk1b1Q1B/p3R3/P4p1n/3N1P2/8/2n1p3/8/1B3K2 w - - acn 1; acs 0; bm Qxd8#; ce 32766; dm 1; pv Qxd8#;
bk1K3R/2R5/1p6/5N2/2pP4/8/p7/6n1 w - - acn 1; acs 0; bm Kd7#; ce 32766; dm 1; pv Kd7#;
bbr4R/3N4/4q3/1p1N4/1pk4r/1npp4/7p/7K b - - acn 3; acs 0; bm Bxd5# Qe4# Qxd5#; ce 32766; dm 1; pv Bxd5#;
bbr1n3/1rq2p2/4p3/8/2p2pp1/K1pR3p/2p1kP2/6nB b - - acn 1; acs 0; bm Qa5#; ce 32766; dm 1; pv Qa5#;
bbnN1B2/4R3/pp1k2KR/NP1B2p1/r2Q1pnp/P1ppp1P1/1qPPPP1P/6r1 w - - acn 30; acs 0; bm Nf7#; ce 32766; dm 1; pv Nf7#;
bbk5/pRPp4/Kp1P4/1P6/8/8/8/8 w - - acn 3; acs 0; bm Rxb8# cxb8=Q# cxb8=R#; ce 32766; dm 1; pv cxb8=Q#;
bbk5/pRPp4/Kp1P4/1P6/8/8/8/8 b - - acn 1; acs 0; bm Bxb7#; ce 32766; dm 1; pv Bxb7#;
bbk5/n1r1B1P1/PPPKPPp1/pppPrp2/p2pp3/8/8/8 w - - acn 2; acs 0; bm g8=Q# g8=R#; ce 32766; dm 1; pv g8=Q#;
bbk5/n1r1B1P1/PPPKPPp1/pppPrp2/p2pp3/8/8/8 b - - acn 1; acs 0; bm Rxc6#; ce 32766; dm 1; pv Rxc6#;
bbQ1N1n1/5p2/1p1P2p1/8/1p2k1P1/5NP1/3KP3/3R4 w - - acn 1; acs 0; bm Qc4#; ce 32766; dm 1; pv Qc4#;
bbN5/rrBPp3/k1KpP3/p2PpQn1/2p5/2p3p1/8/2n5 b - - acn 7; acs 0; bm Rb1# Rb2# Rb3# Rb4# Rb5# Rb6# Rxc7#; ce 32766; dm 1; pv Rxc7#;
bbN5/rrBPp3/k1KpP3/p2Pp1n1/2p5/2pQ2p1/8/2n5 b - - acn 7; acs 0; bm Rb1# Rb2# Rb3# Rb4# Rb5# Rb6# Rxc7#; ce 32766; dm 1; pv Rxc7#;
bbN5/rr1Pp3/k1Kp4/p2P4/2P1p3/8/6pn/4Q3 b - - acn 8; acs 0; bm Rb1# Rb2# Rb3# Rb4# Rb5# Rb6# Rc7# Rxd7#; ce 32766; dm 1; pv Rc7#;
bbN5/rr1Pp3/k1Kp4/3P4/pPP1p3/3pp1Q1/6pp/3N4 b - - acn 5; acs 0; bm Rb5# Rb6# Rc7# Rxb4# Rxd7#; ce 32766; dm 1; pv Rc7#;
bbN5/rr1Pp3/k1Kp4/1P1P4/p1P1p3/3pp1Q1/6pp/3N4 b - - acn 1; acs 0; bm Rxb5#; ce 32766; dm 1; pv Rxb5#;
bbN5/8/1p6/1P6/3K4/5r2/1n2r2k/8 b - - acn 4; acs 0; bm Be5# Rd2# Rd3# Re4#; ce 32766; dm 1; pv Be5#;
bbB2n1B/3p2r1/4q1pp/5k1p/7P/8/2p2Np1/2r1Q1K1 b - - acn 2; acs 0; bm Qxe1# Rxe1#; ce 32766; dm 1; pv Rxe1#;
bb6/rrpP4/pNK4B/pQP5/1R6/1R6/B1k2N2/n7 w - - acn 5; acs 0; bm Bb1# Qc4# Qd3# Qe2# Rc4#; ce 32766; dm 1; pv Bb1#;
bb6/rrpP4/pNK4B/pQP5/1R6/1R6/B1k2N2/n7 b - - acn 1; acs 0; bm Rxb6#; ce 32766; dm 1; pv Rxb6#;
bb6/rrpP4/p1Kp4/B2B4/8/k2p4/n2P4/1RnQ4 b - - acn 6; acs 0; bm Rb2# Rb3# Rb4# Rb5# Rb6# Rxb1#; ce 32766; dm 1; pv Rb6#;
bb6/rrpP4/p1K2B2/P1P2Q2/1Nk5/p7/1Rp1P3/3N1B2 w - - acn 10; acs 0; bm Ne3# Qd3# Qd5# Qe4# Qe6# Qf4# Qg4# Qxc2# e3# e4#; ce 32766; dm 1; pv e3#;
bb6/rrpP4/p1K2B2/P1P2Q2/1Nk5/p7/1Rp1P3/3N1B2 b - - acn 3; acs 0; bm Rb5# Rb6# Rxb4#; ce 32766; dm 1; pv Rb6#;
bb6/qrp2QB1/pk2P3/R1N2P2/2PN4/8/8/R6K w - - acn 2; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
bb6/qrp1pp2/RP1p4/Rp6/Bp2P2P/k1PP2P1/2PrP3/1QK5 w - - acn 6; acs 0; bm Bb3# Bxb5# Qa1# Qb2# Qb3#; ce 32766; dm 1; pv Bxb5#;
bb6/qnPP2N1/ppK1pR2/1p2k3/3p4/5R2/nB4P1/1Q6 w - - acn 5; acs 0; bm Qe1# Rxe6#; ce 32766; dm 1; pv Rxe6#;
bb6/qnPP2N1/ppK1pR2/1p2k3/3p4/5R2/nB4P1/1Q6 b - - acn 5; acs 0; bm Na5# Nb4# Nc5# Nd6# Nd8#; ce 32766; dm 1; pv Na5#;
bb6/pr5k/8/8/3p4/7n/4Q2p/7K b - - acn 11; acs 0; bm Rb1#; ce 32766; dm 1; pv Rb1#;
bb6/pn2B3/4q3/2P1R1rp/5p1k/5Q2/1n4pK/6R1 w - - acn 2; acs 0; bm Bxg5#; ce 32766; dm 1; pv Bxg5#;
bb6/pn2B3/4P3/2P1R1rp/5p1k/5Q2/qn4pK/6R1 w - - acn 4; acs 0; bm Bxg5# Qh3# Qxf4#; ce 32766; dm 1; pv Bxg5#;
bb6/pR6/2Kp3p/r1n1p1p1/2p3pk/1p6/n7/8 b - - acn 2; acs 0; bm Bxb7# Nb4#; ce 32766; dm 1; pv Nb4#;
bb6/pPk1K3/BR6/4p3/4P3/8/2P5/8 w - - acn 1; acs 0; bm bxa8=N#; ce 32766; dm 1; pv bxa8=N#;
bb6/p7/8/r4p1N/7R/5k2/1RN4p/2B1Q2K w - - acn 6; acs 0; bm Nd4# Qe3# Qf1# Rb3#; ce 32766; dm 1; pv Nd4#;
bb6/p7/8/8/8/N1p1p2K/p1p1P3/k1B1N3 w - - acn 1; acs 0; bm Nexc2#; ce 32766; dm 1; pv Nexc2#;
bb6/p7/8/4rp1N/7R/5k2/1RN4p/2B1Q2K w - - acn 4; acs 0; bm Nd4# Qf1# Rf4#; ce 32766; dm 1; pv Nd4#;
bb6/p7/4p1rq/5k2/4Rp1R/5n1n/8/7K b - - acn 2; acs 0; bm Nf2# Rg1#; ce 32766; dm 1; pv Nf2#;
bb6/p5p1/r7/r3RK2/p6k/6p1/8/7q b - - acn 4; acs 0; bm Qe4# Qf1# Qf3# Rf6#; ce 32766; dm 1; pv Rf6#;
